                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.33867,                0.20235,                0.84934,                0.95924,                0.92646,                 0.9644,                0.79244,                0.75618,                0.36992,                 1.0233,             0.00016105,             0.00016105,             0.00016105
                     64,                0.34273,                0.20661,                0.84965,                0.94847,                0.93116,                0.96339,                0.79177,                0.75057,                0.38747,                 1.0186,             0.00015692,             0.00015692,             0.00015692
                     65,                0.33868,                0.20203,                0.84718,                0.95119,                 0.9364,                0.96377,                0.79477,                 0.7506,                 0.3659,                 1.0037,             0.00015279,             0.00015279,             0.00015279
                     66,                0.34146,                0.20169,                0.84559,                0.94581,                 0.9392,                0.96686,                0.79896,                0.74341,                0.35119,                0.99653,             0.00014866,             0.00014866,             0.00014866
                     67,                0.33565,                 0.2031,                0.84553,                0.94696,                0.93502,                0.96806,                0.79926,                0.74754,                0.35614,                0.99681,             0.00014453,             0.00014453,             0.00014453
                     68,                0.33512,                0.19859,                0.84317,                0.95453,                0.93125,                0.96887,                0.80029,                0.74527,                 0.3574,                0.99466,              0.0001404,              0.0001404,              0.0001404
                     69,                0.33124,                0.19504,                0.84559,                0.95853,                0.92836,                0.97043,                0.80139,                0.74825,                0.35398,                 1.0084,             0.00013628,             0.00013628,             0.00013628
                     70,                0.33207,                0.19827,                0.84593,                0.95204,                0.92277,                0.96877,                0.79681,                 0.7439,                0.35044,                0.99884,             0.00013215,             0.00013215,             0.00013215
                     71,                0.32496,                 0.1955,                0.84059,                0.95278,                0.92879,                0.97125,                0.80176,                0.74136,                0.35563,                0.98617,             0.00012802,             0.00012802,             0.00012802
                     72,                0.32082,                0.19084,                0.83795,                0.94926,                0.93706,                0.96925,                0.80177,                0.74153,                 0.3527,                0.98101,             0.00012389,             0.00012389,             0.00012389
                     73,                 0.3196,                0.19042,                0.83945,                0.95253,                0.93507,                0.97263,                0.80325,                0.74335,                 0.3556,                0.98519,             0.00011976,             0.00011976,             0.00011976
                     74,                0.31944,                0.18975,                 0.8371,                0.96015,                0.94231,                0.97484,                0.80788,                0.73682,                0.33383,                0.98753,             0.00011563,             0.00011563,             0.00011563
                     75,                0.31843,                0.18735,                0.83843,                0.95574,                0.93866,                0.97097,                 0.8021,                 0.7434,                0.34918,                0.99164,             0.00011151,             0.00011151,             0.00011151
                     76,                0.31507,                0.18527,                0.83901,                0.95218,                 0.9398,                0.96922,                0.80272,                0.73809,                0.34131,                0.99585,             0.00010738,             0.00010738,             0.00010738
                     77,                0.31165,                0.18257,                0.83811,                0.94068,                0.93666,                0.96712,                0.79876,                0.74397,                0.37023,                 1.0043,             0.00010325,             0.00010325,             0.00010325
                     78,                0.31394,                 0.1848,                0.84186,                0.93331,                0.94749,                0.96889,                0.80099,                0.73832,                0.34815,                0.99358,             9.9121e-05,             9.9121e-05,             9.9121e-05
                     79,                0.30788,                0.17866,                0.83627,                0.95552,                0.93193,                0.96734,                0.80206,                0.73865,                0.35338,                0.98788,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     80,                0.30842,                 0.1825,                0.83449,                0.95707,                0.92182,                0.96776,                0.80226,                0.74032,                0.35279,                0.99312,             9.0864e-05,             9.0864e-05,             9.0864e-05
                     81,                0.30767,                0.17989,                0.83744,                0.95308,                0.93572,                0.96686,                0.79955,                0.74106,                0.34941,                0.99775,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     82,                0.30382,                0.17873,                0.83545,                0.95471,                0.94119,                0.97262,                0.80603,                0.74552,                  0.346,                0.99793,             8.2608e-05,             8.2608e-05,             8.2608e-05
                     83,                0.30032,                 0.1749,                0.83366,                0.95267,                0.93699,                0.97204,                0.80523,                0.74222,                0.34761,                0.99312,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     84,                0.29623,                0.17529,                0.83395,                0.94113,                0.94717,                0.97454,                0.80766,                0.74479,                0.33763,                 1.0009,             7.4351e-05,             7.4351e-05,             7.4351e-05
                     85,                0.29313,                0.17388,                0.83344,                0.95827,                0.94045,                0.97774,                 0.8087,                0.74153,                0.33114,                 1.0038,             7.0223e-05,             7.0223e-05,             7.0223e-05
