                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.55181,                 0.4223,                0.87442,                0.84607,                0.77437,                 0.8644,                0.66758,                0.87628,                0.71075,                0.96208,             8.2608e-05,             8.2608e-05,             8.2608e-05
                     83,                0.54892,                0.42367,                0.87381,                0.83063,                0.80668,                0.87352,                0.67337,                0.87755,                0.69745,                0.96232,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     84,                0.54227,                0.42345,                0.87179,                 0.8239,                0.81305,                0.87587,                0.67654,                0.87293,                0.69301,                0.96178,             7.4351e-05,             7.4351e-05,             7.4351e-05
                     85,                0.54228,                0.41447,                0.87024,                0.81715,                0.80816,                0.86461,                0.66746,                0.87602,                0.70506,                0.96445,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     86,                0.54686,                0.41833,                0.87084,                0.82832,                0.80737,                0.87485,                 0.6768,                0.87156,                0.69822,                0.96218,             6.6095e-05,             6.6095e-05,             6.6095e-05
                     87,                0.54219,                0.41919,                0.86955,                0.81496,                0.80726,                 0.8696,                0.67242,                0.87177,                0.70432,                0.96133,             6.1966e-05,             6.1966e-05,             6.1966e-05
                     88,                0.54364,                0.41233,                0.87216,                 0.8384,                0.79646,                0.87732,                0.67836,                0.87308,                0.69013,                0.96166,             5.7838e-05,             5.7838e-05,             5.7838e-05
                     89,                0.54523,                0.41703,                0.87255,                0.82509,                  0.804,                 0.8716,                0.67455,                0.87212,                0.69352,                0.96116,              5.371e-05,              5.371e-05,              5.371e-05
                     90,                0.53796,                0.40725,                0.86717,                0.83115,                0.78878,                0.87028,                0.67391,                0.86957,                0.70041,                0.96138,             4.9581e-05,             4.9581e-05,             4.9581e-05
                     91,                0.90785,                0.69189,                 0.9849,                0.79335,                0.80784,                0.85663,                0.66037,                0.87267,                0.71499,                 0.9634,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     92,                0.89273,                0.66185,                0.96636,                0.80445,                0.80411,                0.86331,                0.66665,                0.87413,                 0.6873,                 0.9592,             4.1325e-05,             4.1325e-05,             4.1325e-05
                     93,                0.89369,                0.65629,                 0.9718,                0.81773,                0.81608,                0.87716,                 0.6793,                0.86136,                0.67313,                0.95172,             3.7196e-05,             3.7196e-05,             3.7196e-05
                     94,                0.88616,                0.65633,                0.96393,                 0.8249,                0.80543,                0.87551,                0.68123,                0.85573,                0.67864,                0.95012,             3.3068e-05,             3.3068e-05,             3.3068e-05
                     95,                0.87714,                0.63294,                0.96239,                0.83612,                0.81701,                0.88206,                0.68702,                0.85214,                0.66424,                0.94685,              2.894e-05,              2.894e-05,              2.894e-05
                     96,                0.87424,                0.63022,                0.96291,                0.84334,                0.80161,                0.88584,                0.69007,                0.85149,                0.66078,                0.94802,             2.4812e-05,             2.4812e-05,             2.4812e-05
                     97,                0.87215,                0.62307,                0.95895,                0.81974,                0.81953,                0.88367,                0.68836,                0.85221,                0.66122,                 0.9472,             2.0683e-05,             2.0683e-05,             2.0683e-05
                     98,                0.87276,                0.62106,                0.95942,                0.83655,                0.80658,                0.88726,                0.69291,                 0.8509,                0.65748,                0.94636,             1.6555e-05,             1.6555e-05,             1.6555e-05
                     99,                0.86886,                0.61942,                0.95867,                0.85905,                 0.7912,                0.88474,                0.69015,                 0.8482,                0.65608,                0.94547,             1.2427e-05,             1.2427e-05,             1.2427e-05
                    100,                0.87497,                0.62047,                0.95798,                0.84394,                0.80921,                 0.8868,                0.69166,                0.84951,                0.65553,                0.94568,             8.2983e-06,             8.2983e-06,             8.2983e-06
