                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.72931,                0.41093,                0.93005,                0.95609,                0.94529,                0.97199,                0.80108,                 0.7363,                0.39123,                0.93196,             4.9581e-05,             4.9581e-05,             4.9581e-05
                     91,                0.68985,                0.35902,                0.92179,                0.95786,                0.93409,                0.97064,                0.79838,                 0.7424,                 0.3987,                0.93482,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     92,                0.67399,                0.34251,                0.90973,                0.95718,                0.93858,                0.97196,                0.79963,                0.74184,                0.39123,                0.93328,             4.1325e-05,             4.1325e-05,             4.1325e-05
                     93,                0.67875,                0.34743,                0.91657,                0.94831,                0.93945,                0.97266,                0.79901,                0.74149,                0.39377,                0.93336,             3.7196e-05,             3.7196e-05,             3.7196e-05
                     94,                0.67241,                0.34413,                0.91327,                0.95173,                 0.9412,                0.97064,                0.80021,                 0.7403,                0.39338,                0.93445,             3.3068e-05,             3.3068e-05,             3.3068e-05
                     95,                0.66803,                0.33647,                0.90916,                0.96065,                0.93794,                0.97376,                0.80393,                0.73753,                0.38636,                0.93201,              2.894e-05,              2.894e-05,              2.894e-05
                     96,                0.66629,                0.33712,                 0.9125,                 0.9551,                0.93689,                0.97367,                0.80236,                0.73986,                0.39499,                 0.9333,             2.4812e-05,             2.4812e-05,             2.4812e-05
                     97,                  0.665,                 0.3347,                0.90829,                0.94914,                0.94171,                0.97189,                0.80081,                0.73989,                0.39526,                0.93328,             2.0683e-05,             2.0683e-05,             2.0683e-05
                     98,                0.66627,                0.33853,                0.91205,                0.94792,                 0.9456,                 0.9723,                0.80078,                0.73905,                0.39136,                0.93259,             1.6555e-05,             1.6555e-05,             1.6555e-05
                     99,                0.66047,                0.33448,                0.91045,                0.95027,                0.94588,                0.97291,                0.80208,                0.74097,                0.39032,                0.93412,             1.2427e-05,             1.2427e-05,             1.2427e-05
                    100,                0.66638,                0.33779,                0.90807,                0.95281,                0.94359,                0.97334,                0.80189,                0.74038,                0.39045,                0.93354,             8.2983e-06,             8.2983e-06,             8.2983e-06
